"name","rating","review_count","category","address","neighbor","phone","url","origin_url"
"The Plumbing Guys","5.0","36","Plumbing,","San Jose, CA 95156","Alum Rock/East Foothills","(408) 637-1682","","http://www.yelp.com/biz/the-plumbing-guys-san-jose"
"Dempster Plumbing","4.5","119","Plumbing,Contractors,","1639 Pomona Ave, San Jose, CA 95110","Fairgrounds","(408) 597-5877","www.dempsterplumbing.com","http://www.yelp.com/biz/dempster-plumbing-san-jose"
"J Drains Rooter Service","4.5","61","Plumbing,","1854 Almaden Rd, San Jose, CA 95125","Willow Glen","(408) 979-9247","www.jdrains.com","http://www.yelp.com/biz/j-drains-rooter-service-san-jose"
"The Art Of Plumbing","4.5","48","Plumbing,","San Jose, CA 95130","West San Jose","(408) 688-6688","","http://www.yelp.com/biz/the-art-of-plumbing-san-jose"
"Clean Rooter & Plumbing","5.0","24","Plumbing,Contractors,","2305 Cherrystone Dr., San Jose, CA 95128","Rose Garden","(408) 802-9623","licensedplumberssanjose.com","http://www.yelp.com/biz/clean-rooter-and-plumbing-san-jose-2"
"San Jose Plumbing","4.0","137","Plumbing,","19970 McKean Rd, San Jose, CA 95120","","(408) 296-1820","www.sanjoseplumbing.net","http://www.yelp.com/biz/san-jose-plumbing-san-jose-2"
"SouthBay Plumbers Inc.","4.5","39","Plumbing,","San Jose, CA 95132","Berryessa","(408) 613-5570","www.southbayplumbers.org","http://www.yelp.com/biz/southbay-plumbers-inc-san-jose"
"American Home Plumbing Service","4.5","25","Plumbing,","178 Manton Dr, San Jose, CA 95123","Santa Teresa","(408) 770-6873","","http://www.yelp.com/biz/american-home-plumbing-service-san-jose"
"Arroyo Plumbing & Drain","4.0","59","Plumbing,","650 Lincoln Ave, San Jose, CA 95126","Downtown","(408) 278-0170","arroyo-plumbing.com","http://www.yelp.com/biz/arroyo-plumbing-and-drain-san-jose-4"
"Superior Plumbing","4.5","18","Plumbing,","6132 Bollinger Rd, San Jose, CA 95129","West San Jose","(408) 446-1760","www.superplumbing.org","http://www.yelp.com/biz/superior-plumbing-san-jose"
"RCV Plumbing and Sewer","4.5","80","Plumbing,","San Jose, CA 95153","Blossom Valley","(408) 363-9693","","http://www.yelp.com/biz/rcv-plumbing-and-sewer-san-jose"
"Drain Masters","4.5","101","Plumbing,","542 Tuscarora Dr, San Jose, CA 95123","Blossom Valley","(408) 629-1453","www.originaldrainmasters.com","http://www.yelp.com/biz/drain-masters-san-jose"
"Plumb Tech Inc","5.0","21","Plumbing,","1039 Coleman Rd, San Jose, CA 95123","Almaden Valley","(408) 398-3043","plumbtechs.com","http://www.yelp.com/biz/plumb-tech-inc-san-jose"
"Happy Rooter","4.5","84","Plumbing,","3637 Snell Ave, San Jose, CA 95136","Fairgrounds","(408) 551-8947","","http://www.yelp.com/biz/happy-rooter-san-jose"
"Enriquez Plumbing","5.0","22","Plumbing,Building Supplies,","San Jose, CA 95111","Evergreen","(408) 713-1019","plumbercontractorssanjose.com","http://www.yelp.com/biz/enriquez-plumbing-san-jose"
"Solution Plumbing and Drain Services","5.0","13","Plumbing,","San Jose, CA 95148","Evergreen","(408) 425-8925","","http://www.yelp.com/biz/solution-plumbing-and-drain-services-san-jose-2"
